"","Sleep_Time_All","Sleep_Time_L","Sleep_Time_D","n_Bouts_L","n_Bouts_D","mean_Bout_Length_L","mean_Bout_Length_D"
"SIP-S1-6_2D",0.000925645508252012,0.00366588871611988,0.00438357644315708,0.0419627200823333,0.012543657707612,0.0132214140258146,0.0208575124321158
"SIP-S1-10_2D",0.000745698715324176,7.44911833566157e-05,0.0689666191489244,0.508938320924195,0.330671944569791,0.245859088294989,0.713306407698505
"SIP-S1-7_5D",1.11581887793034e-05,0.000357618729849434,0.000106707914028881,0.0353943036447969,0.680204906114032,0.0733874431128962,0.35131453721034
"SIP-S1-9_5D",0.0370418471672789,0.0334687131427695,0.233730139449627,0.509242210294091,0.454960275616236,0.347342356064993,0.0356930950264564
"SIP-S2-6_5D",4.89818571019576e-05,0.000162548233524609,0.000374778932574908,0.556145300849516,0.731798117330204,0.397380415479003,0.132937098483815
"SIP-S1-10_5D",0.604721588370355,0.737287056858969,0.61385793061373,0.743223859186681,0.180037189673005,0.288459183879536,0.318682505159254
"SIP-S1-6_5D",0.456197213064895,0.694722053615809,0.394017325439643,0.00575073467506098,0.479179120064846,0.0874292301842824,0.115833318749658
"SIP-S2-8_2D",0.116421286531758,0.050484554233278,0.34722635809354,0.329412857084328,0.550489431720263,0.377769453829034,0.976904371783604
"SIP-S2-1_2D",0.222129274957528,0.492807596421021,0.141450833988813,0.157482576793431,0.761355864131798,0.501083834094994,0.862888350242806
"SIP-S2-10_2D",0.378130996662934,0.00360039460172903,0.328416835235627,0.0322654592504483,0.728431149414984,0.484728536893544,0.255480296853644
"SIP-L2-1_2D",0.0682174205902919,0.258574994072256,0.0194482588000507,0.554453139918649,0.0901931344216975,0.826038271297698,0.155082193554744
"SIP-L2-2_2D",0.558854650112526,0.827055514461685,0.103841283601346,0.0509431931378029,0.258847508183017,0.0342434078718767,0.425986628311621
"SIP-S2-8_5D",0.816526954329814,0.842598971713414,0.591323098684419,0.267839824018685,0.848050906234243,0.092911685951207,0.84189167675305
"SIP-L2-1_5D",0.0648025552221772,0.594236651192085,0.00117124279999259,0.375109677310385,0.00575526683676197,0.808144637098474,0.0231503515434421
"SIP-S2-10_5D",0.47597812177951,0.221743047289192,0.853766231615065,0.155659179452768,0.623106968244562,0.0208392319800639,0.978575183142927
"SIP-L2-2_5D",0.639853464799946,0.46240263997679,0.856813318962772,0.570650539337706,0.723206860434749,0.281509142422214,0.72592744855441
"SIP-S2-1_5D",1.05221234454846e-05,1.62739931513477e-06,0.000299677191543759,0.0692385342826093,0.0615826780225476,0.0469652289869928,0.0714575800491073
"SIP-L1-2_5D",0.00121125216433461,0.00016538366975572,0.424099568455127,0.0603828967268639,0.776505969788137,0.090727813531883,0.310475304880038
