id,region_id,experiment_id,start_datetime,stop_datetime,status,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor,Batch,Sleep_Fraction_All,Sleep_Time_All,Sleep_Fraction_L,Sleep_Time_L,Sleep_Fraction_D,Sleep_Time_D,Day1_latency,Day1_first_bout_length,Day1_latency_to_longest_bout,Day1_Sleep_Fraction_All,Day1_Sleep_Time_All,Day1_Sleep_Fraction_L,Day1_Sleep_Time_L,Day1_Sleep_Fraction_D,Day1_Sleep_Time_D,Day2_latency,Day2_first_bout_length,Day2_latency_to_longest_bout,Day2_Sleep_Fraction_All,Day2_Sleep_Time_All,Day2_Sleep_Fraction_L,Day2_Sleep_Time_L,Day2_Sleep_Fraction_D,Day2_Sleep_Time_D,n_Bouts_L,mean_Bout_Length_L,n_Bouts_D,mean_Bout_Length_D
2019-06-22 10:01:00|Monitor13.txt|28,28,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.870531065602222,1253.5647344672,0.854267869535045,615.072866065233,0.886805555555556,638.5,1080,300,18240,0.860513532269257,1239.13948646773,0.832177531206657,599.167822468793,0.888888888888889,640,1320,900,33420,0.880638445523942,1268.11936155448,0.876560332871012,631.123439667129,0.884722222222222,637,26,26.8269230769231,21.5,32.4651162790698
2019-06-22 10:01:00|Monitor13.txt|29,29,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.724748351266921,1043.63762582437,0.597501734906315,430.201249132547,0.852083333333333,613.5,4440,300,11040,0.724496877168633,1043.27550312283,0.575589459084605,414.424410540915,0.873611111111111,629,3240,540,17820,0.725190839694657,1044.27480916031,0.61997226074896,446.380027739251,0.830555555555556,598,24.5,29.6122448979592,27.5,25.0363636363636
2019-06-22 10:01:00|Monitor13.txt|31,31,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.768136063866713,1106.11593196807,0.63705759888966,458.681471200555,0.899305555555556,647.5,7140,2100,10680,0.777238029146426,1119.22276197085,0.638002773925104,459.361997226075,0.916666666666667,660,2280,780,22860,0.759195003469813,1093.24080499653,0.636615811373093,458.363384188627,0.881944444444445,635,20,36.125,24,28.3125
2019-06-22 10:01:00|Monitor13.txt|32,32,2019-06-22 10:01:00|Monitor13.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,SIP-L2-5,21.5C,Iso,2D,12:12,M13,Batch1_2Days,0.8958694897605,1290.05206525512,0.845940319222762,609.077029840389,0.945833333333333,681,840,480,12540,0.922276197085357,1328.07772380291,0.848821081830791,611.151178918169,0.995833333333333,717,1380,960,16080,0.869535045107564,1252.13046495489,0.843273231622746,607.156726768377,0.895833333333333,645,24,29.3541666666667,11.5,61.6086956521739
2019-06-22 10:01:00|Monitor17.txt|01,1,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.651856994099271,938.67407150295,0.626648160999306,451.1866759195,0.677083333333333,487.5,1440,300,8400,0.705759888965996,1016.29424011103,0.660194174757282,475.339805825243,0.751388888888889,541,1080,360,25680,0.598195697432339,861.401804302568,0.593619972260749,427.406380027739,0.602777777777778,434,37,19.9459459459459,35.5,18.6760563380282
2019-06-22 10:01:00|Monitor17.txt|02,2,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.85005206525512,1224.07497396737,0.784871616932686,565.107564191534,0.915277777777778,659,0,540,35280,0.825121443442054,1188.17487855656,0.750346740638003,540.249653259362,0.9,648,1140,960,24600,0.875086745315753,1260.12491325468,0.819694868238558,590.180305131761,0.930555555555556,670,26,27.5384615384615,10.5,67.4285714285714
2019-06-22 10:01:00|Monitor17.txt|03,3,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.653939604304061,941.673030197848,0.495489243580847,356.75225537821,0.8125,585,4320,420,23100,0.649548924358085,935.350451075642,0.50624133148405,364.493758668516,0.793055555555556,571,2820,360,10020,0.658570437196391,948.341429562804,0.485436893203884,349.514563106796,0.831944444444445,599,36,21.6805555555556,19.5,32.6923076923077
2019-06-22 10:01:00|Monitor17.txt|04,4,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.590767094758764,850.704616452621,0.351839000693963,253.324080499653,0.829861111111111,597.5,6780,300,14700,0.600277585010409,864.39972241499,0.342579750346741,246.657420249653,0.858333333333333,618,11520,540,19620,0.581540596807772,837.418459403192,0.361997226074896,260.638002773925,0.801388888888889,577,44.5,16.5842696629213,21,31.9761904761905
2019-06-22 10:01:00|Monitor17.txt|05,5,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.69385629989587,999.153071850052,0.622484385843165,448.188757807078,0.765277777777778,551,2040,360,13680,0.679389312977099,978.320610687023,0.578363384188627,416.421636615811,0.780555555555556,562,1440,360,15060,0.70853573907009,1020.29146426093,0.667128987517337,480.332871012483,0.75,540,39.5,17.873417721519,27.5,25.5454545454545
2019-06-22 10:01:00|Monitor17.txt|06,6,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.653245400902464,940.673377299549,0.576682859125607,415.211658570437,0.729861111111111,525.5,4800,780,18120,0.62734212352533,903.372657876475,0.545076282940361,392.45492371706,0.709722222222222,511,6420,360,16140,0.679389312977099,978.320610687023,0.608876560332871,438.391123439667,0.75,540,40,18.725,24,27.4166666666667
2019-06-22 10:01:00|Monitor17.txt|08,8,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.699409927108643,1007.15029503645,0.546148507980569,393.22692574601,0.852777777777778,614,6120,420,17640,0.687022900763359,989.312977099237,0.53120665742025,382.46879334258,0.843055555555556,607,3120,360,23460,0.712005551700208,1025.2879944483,0.561719833564494,404.438280166436,0.8625,621,28.5,27.1052631578947,12,54.625
2019-06-22 10:01:00|Monitor17.txt|09,9,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.778202013189865,1120.61089899341,0.657182512144344,473.171408743928,0.899305555555556,647.5,2640,420,19680,0.734212352532963,1057.26578764747,0.59500693481276,428.404993065187,0.873611111111111,629,4260,900,15180,0.82234559333796,1184.17765440666,0.719833564493759,518.280166435506,0.925,666,31.5,23.952380952381,6.5,102
2019-06-22 10:01:00|Monitor17.txt|10,10,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.680319333564735,979.659840333218,0.538514920194309,387.730742539903,0.822222222222222,592,9960,420,35340,0.677307425399028,975.322692574601,0.545076282940361,392.45492371706,0.809722222222222,583,8940,300,18780,0.682859125607217,983.317140874393,0.53120665742025,382.46879334258,0.834722222222222,601,29,24.448275862069,17.5,40.0571428571429
2019-06-22 10:01:00|Monitor17.txt|11,11,2019-06-22 10:01:00|Monitor17.txt,2019-06-22T10:01:00Z,2019-06-24T10:20:00Z,OK,M,CS,21.5C,Grp,2D,12:12,M17,Batch1_2Days,0.724401249566123,1043.13779937522,0.666204024982651,479.666897987509,0.782638888888889,563.5,4680,660,19320,0.715475364330326,1030.28452463567,0.640776699029126,461.359223300971,0.790277777777778,569,1860,300,22680,0.73351839000694,1056.26648160999,0.692094313453537,498.307905686546,0.775,558,36.5,20.7397260273973,24.5,26
