"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light","Batch","Sleep_Fraction_All","Sleep_Time_All","Sleep_Fraction_L","Sleep_Time_L","Sleep_Fraction_D","Sleep_Time_D","Day1_latency","Day1_first_bout_length","Day1_latency_to_longest_bout","Day1_Sleep_Fraction_All","Day1_Sleep_Time_All","Day1_Sleep_Fraction_L","Day1_Sleep_Time_L","Day1_Sleep_Fraction_D","Day1_Sleep_Time_D","Day2_latency","Day2_first_bout_length","Day2_latency_to_longest_bout","Day2_Sleep_Fraction_All","Day2_Sleep_Time_All","Day2_Sleep_Fraction_L","Day2_Sleep_Time_L","Day2_Sleep_Fraction_D","Day2_Sleep_Time_D","n_Bouts_L","mean_Bout_Length_L","n_Bouts_D","mean_Bout_Length_D"
"2019-08-20 10:01:00|Monitor14.txt|22",22,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.473099618188129,681.263450190906,0.41498959056211,298.792505204719,0.53125,382.5,3600,300,20460,0.511450381679389,736.488549618321,0.409153952843273,294.590846047157,0.613888888888889,442,2520,300,19320,0.43442054129077,625.565579458709,0.420249653259362,302.579750346741,0.448611111111111,323,40,20.0875,39,15.5512820512821
"2019-08-20 10:01:00|Monitor14.txt|23",23,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.211037834085387,303.894481082957,0.259541984732824,186.870229007634,0.1625,117,5520,420,10440,0.21998612074948,316.780013879251,0.228848821081831,164.771151178918,0.211111111111111,152,1560,300,22440,0.201943095072866,290.798056904927,0.289875173370319,208.71012482663,0.113888888888889,82,36.5,26.3835616438356,22,21.3636363636364
"2019-08-20 10:01:00|Monitor14.txt|24",24,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.366539396043041,527.816730301978,0.580846634281749,418.209576682859,0.152083333333333,109.5,0,300,18660,0.406662040249827,585.59333795975,0.629680998613038,453.370319001387,0.183333333333333,132,3240,420,18120,0.32616238723109,469.673837612769,0.53120665742025,382.46879334258,0.120833333333333,87,39.5,26.9367088607595,16.5,21.8787878787879
"2019-08-20 10:01:00|Monitor14.txt|25",25,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.16244359597362,233.918778202013,0.16793893129771,120.916030534351,0.156944444444444,113,3780,420,10440,0.143650242886884,206.856349757113,0.130374479889043,93.869625520111,0.156944444444444,113,11100,300,21780,0.181124219292158,260.818875780708,0.205270457697642,147.794729542302,0.156944444444444,113,28,27.8928571428571,21.5,30.2558139534884
"2019-08-20 10:01:00|Monitor14.txt|26",26,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.525859076709476,757.237070461645,0.659264399722415,474.670367800139,0.392361111111111,282.5,3060,300,18360,0.557251908396947,802.442748091603,0.613037447988904,441.386962552011,0.501388888888889,361,2940,2820,13320,0.494795281054823,712.505204718945,0.705963938973648,508.294036061026,0.283333333333333,204,24,36.7708333333333,37.5,14.44
"2019-08-20 10:01:00|Monitor14.txt|27",27,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.607775078097883,875.196112460951,0.628730048577377,452.685634975711,0.586805555555556,422.5,480,300,19620,0.594725884802221,856.405274115198,0.586685159500694,422.413314840499,0.602777777777778,434,2640,300,20880,0.621096460791117,894.378903539209,0.67128987517337,483.328710124827,0.570833333333333,411,44,17.9090909090909,30.5,20.327868852459
"2019-08-20 10:01:00|Monitor14.txt|28",28,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.485942381117668,699.757028809441,0.575988896599584,414.7120055517,0.395833333333333,285,1860,540,14820,0.489937543372658,705.510062456627,0.583911234396671,420.416088765603,0.395833333333333,285,1860,480,15720,0.482303955586398,694.517696044414,0.568654646324549,409.431345353675,0.395833333333333,285,45.5,18.8461538461538,33.5,15.9701492537313
"2019-08-20 10:01:00|Monitor14.txt|29",29,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.385977091287747,555.807011454356,0.285912560721721,205.857043719639,0.486111111111111,350,120,300,23700,0.3705759888966,533.629424011104,0.277392510402219,199.722607489598,0.463888888888889,334,1440,600,7500,0.401804302567661,578.598195697432,0.295423023578363,212.704576976422,0.508333333333333,366,38,19.9473684210526,41.5,16.0120481927711
"2019-08-20 10:01:00|Monitor14.txt|30",30,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.645956265185699,930.177021867407,0.768216516308119,553.115891741846,0.523611111111111,377,2340,360,14820,0.693268563497571,998.306731436502,0.782246879334258,563.217753120666,0.604166666666667,435,3540,300,15360,0.598889659958362,862.401110340042,0.754507628294036,543.245492371706,0.443055555555556,319,39.5,19.8607594936709,34.5,17.4492753623188
"2019-08-20 10:01:00|Monitor14.txt|31",31,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.357167650121486,514.321416174939,0.482303955586398,347.258848022207,0.231944444444444,167,5700,360,22320,0.385843164469119,555.614156835531,0.463245492371706,333.536754507628,0.308333333333333,222,3360,540,7680,0.32824427480916,472.671755725191,0.500693481276006,360.499306518724,0.155555555555556,112,34.5,26.6666666666667,20,25.1
"2019-08-20 10:01:00|Monitor14.txt|32",32,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.664005553627213,956.167997223186,0.598889659958362,431.200555170021,0.729166666666667,525,0,300,16380,0.630811936155448,908.369188063845,0.540915395284327,389.459084604716,0.720833333333333,519,1800,960,14280,0.696738376127689,1003.30326162387,0.656033287101248,472.343966712899,0.7375,531,49.5,14.6161616161616,33,19.8030303030303
"2019-08-20 10:01:00|Monitor15.txt|01",1,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","12:12","Batch9_5Days",0.372787226657411,536.813606386671,0.331714087439278,238.83414295628,0.413888888888889,298,9900,300,20520,0.362248438584316,521.637751561416,0.319001386962552,229.680998613038,0.405555555555556,292,2100,360,16080,0.383067314365024,551.616932685635,0.343966712898752,247.656033287101,0.422222222222222,304,35,22.8571428571429,34.5,18.0434782608696
"2019-08-20 10:01:00|Monitor15.txt|02",2,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","12:12","Batch9_5Days",0.599444637278723,863.200277681361,0.578070784177655,416.210964607911,0.620833333333333,447,0,300,22860,0.616238723108952,887.383761276891,0.589459084604716,424.410540915395,0.643055555555556,463,1920,720,22680,0.58292852185982,839.41707147814,0.567267683772538,408.432732316228,0.598611111111111,431,49.5,15.2222222222222,24,27.2291666666667
"2019-08-20 10:01:00|Monitor15.txt|03",3,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","12:12","Batch9_5Days",0.219021173203749,315.390489413398,0.31089521165857,223.844552394171,0.127083333333333,91.5,8820,420,25620,0.201943095072866,290.798056904927,0.296809986130374,213.70319001387,0.106944444444444,77,10020,360,24660,0.235947258848022,339.764052741152,0.324549237170596,233.675450762829,0.147222222222222,106,36.5,25.6301369863014,21.5,22.906976744186
"2019-08-20 10:01:00|Monitor15.txt|04",4,"2019-08-20 10:01:00|Monitor15.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M15","OK","M","SIP-S2-8","21.5C","Iso","5D","12:12","Batch9_5Days",0.604304061089899,870.197847969455,0.539208882720333,388.23039555864,0.669444444444444,482,0,540,20760,0.601665510062457,866.398334489938,0.513176144244105,369.486823855756,0.690277777777778,497,1380,600,8760,0.607217210270645,874.392782789729,0.565880721220527,407.43411927878,0.648611111111111,467,50,14.61,32.5,20.7230769230769
