"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light"
"2019-08-20 10:01:00|Monitor17.txt|16",16,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|17",17,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|18",18,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|19",19,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|20",20,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|21",21,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|22",22,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|23",23,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|24",24,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|25",25,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|26",26,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|27",27,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|28",28,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|29",29,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|30",30,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|31",31,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor17.txt|32",32,"2019-08-20 10:01:00|Monitor17.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M17","OK","M","SIP-L2-1","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|01",1,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|02",2,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|03",3,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
