file,monitor,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light
Monitor3.txt,M3,29,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,30,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,31,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor3.txt,M3,32,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-1,21.5C,Grp,5D,12:12
Monitor50.txt,M50,1,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,2,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,3,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,4,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,5,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,6,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,7,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,8,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,9,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,10,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,11,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
