file,monitor,region_id,status,start_datetime,stop_datetime,sex,genotype,temp,treatment
Monitor44.txt,M44,12,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,13,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,14,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,15,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,16,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,17,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,18,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,19,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,20,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,21,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,22,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,23,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,24,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,25,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,26,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,27,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,28,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,29,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,30,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,31,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor44.txt,M44,32,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 12:12,21.5C,SIP_S1_1 12:12
Monitor47.txt,M47,1,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,2,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,3,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,4,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,5,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,6,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,7,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,8,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,9,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,10,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,11,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,12,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,13,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,14,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,15,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,16,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,17,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,18,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
