seq_len,Sex,Genotype,Temperature,Treatment,Environment,Light,Batch,Sleep_Time_All,Sleep_Time_L,Sleep_Time_D,n_Bouts_L,mean_Bout_Length_L,n_Bouts_D,mean_Bout_Length_D
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.23872476653342,1.27671842181129,1.21310337166028,0.69551282051282,1.36447174193693,0.146919431279621,6.49281768710591
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.37961749630932,1.63802973518389,1.2053546631117,0.463675213675214,1.98651033017289,0.293838862559242,3.278483454569
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.14873853401231,1.2550142086405,1.07707048825196,1.12606837606838,0.836860263869624,1.00394944707741,0.946815695219396
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.19347454675137,1.35587496396359,1.08395822918402,0.463675213675214,1.91914670425793,1.24881516587678,0.797283188113217
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.32048368636688,1.57802396935876,1.14680886518914,0.397435897435897,2.40454701581533,0.857030015797788,1.08713293827457
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.08549106772604,1.28437873234216,0.951369216241737,0.64031339031339,1.47898496368671,1.61611374407583,0.582758192356526
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.1466817058404,1.2320332770479,1.08912403488308,0.397435897435897,2.42126848324103,0.906003159557662,1.0276259544833
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.13228390863702,1.24735389810963,1.05468533022274,0.772792022792023,1.22630464537945,1.29778830963665,0.708580894575572
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.34156617512897,1.62015567727853,1.1536966061212,0.618233618233618,1.49955731092596,0.881516587677725,1.07373578782297
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.00116111267769,0.947325068983979,1.03746597789257,0.684472934472935,1.42143261161931,1.10189573459716,0.83210705150207
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.26803456798315,1.56781022198427,1.06587790923735,0.717592592592593,1.28266517822352,0.685624012638231,1.39328182750327
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.35904921459021,1.57036365882789,1.21654724212631,0.551994301994302,1.65542527514407,0.220379146919431,4.34992819874797
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.24900890739297,1.45673571928669,1.10892629006277,0.563034188034188,1.67490086661636,0.979462875197472,0.964987582854273
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.18164778476288,1.22309624809522,1.1536966061212,0.618233618233618,1.53503070967905,0.563191153238547,1.69855983554555
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.36573390614892,1.6393064536057,1.18124756984947,0.386396011396011,2.44572960130376,0.318325434439179,3.03475165767232
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.21198600029857,1.24990733495326,1.18641337554852,0.794871794871795,1.15963376597214,0.440758293838863,2.20398398553136
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.26597773981124,1.37630245871257,1.19157918124757,0.52991452991453,1.78334450095066,0.293838862559242,3.28535658550101
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.32408313566772,1.66739425888555,1.09256790534911,0.441595441595442,2.12195421632104,0.857030015797788,1.11855296539234
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.11377245508982,1.27416498496767,1.00561017608176,1.18126780626781,0.775250986966366,1.1998420221169,0.791111397072228
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,0.929172126660806,0.657509987232816,1.1123701605288,1.04878917378917,0.901058274164544,0.661137440758294,1.4316477170973
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.02995670708445,0.994563650590997,1.05382436260623,0.4747150997151,2.08590584352192,1.10189573459716,0.83210705150207
1,M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,1.00373214789258,1.04435566904164,0.97633727712048,0.52991452991453,1.82598424288619,0.881516587677725,1.06075320717362
